kol_name,kol_id,kol_avatar_url,platform_uid,platform_unique_id,update_at,Joined TikTok on,Area,Likes,Posts,Fans,followers_rate,Following,Total Views,Engagement Rate
Avneet Kaur ????♥️,1813,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1661885922571265.webp,1.23569757227778E+017,avneetkaur_13,2020-05-06,2016-07-30,India,307.317M,1962,20.105M,0.00%,53,3.598B,8.54%
Stokes Twins,152,http://p16.muscdn.com/img/musically-maliva-obj/1630223752994822~c5_1080x1080.jpeg,6.61624200397177E+018,stokestwins,2020-05-06,2019-04-06,United States,235.302M,222,19.925M,0.00%,16,1.998B,11.78%
Chase Hudson ⁷,3813,http://p16.muscdn.com/img/musically-maliva-obj/1655744788369414~c5_1080x1080.jpeg,1944858,lilhuddy,2020-05-06,2017-08-04,United States,207.404M,2187,19.273M,8.71%,8.824K,1.208B,17.16%
garimachaurasia996,606,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1655595007229954.webp,2.41908154807103E+017,gima_ashi,2020-05-06,2017-10-14,India,340.598M,1214,18.827M,0.00%,54,4.243B,8.03%
lauren godwin????????âœ¨,2934,http://p16.muscdn.com/img/musically-maliva-obj/1618153081518086~c5_1080x1080.jpeg,1645545,laurengodwin,2020-05-06,2016-06-30,United States,860.452M,2083,18.689M,0.00%,7.726K,3.719B,23.14%
Savannah LaBrant ,1525,http://p16.muscdn.com/img/musically-maliva-obj/1657032594817030~c5_1080x1080.jpeg,13364177,savv.labrant,2020-05-06,2015-12-08,United States,955.761M,1786,18.088M,0.00%,157,1.875B,50.98%
camerondallas,2936,http://p16.muscdn.com/img/musically-maliva-obj/1661250423737350~c5_1080x1080.jpeg,25061381,camerondallas,2020-05-06,2019-03-27,United States,5.044M,26,17.920M,0.00%,85,53.377M,9.45%
JoJo Siwa,8204,http://p16.muscdn.com/img/musically-maliva-obj/1656813048823813~c5_1080x1080.jpeg,123036,itsjojosiwa,2020-05-06,2015-11-30,United States,504.767M,912,17.683M,0.00%,280,893.944M,56.47%
Daniellecohn,8228,http://p16.muscdn.com/img/musically-maliva-obj/1662211408801797~c5_1080x1080.jpeg,893865,daniellecohn,2020-05-06,2017-06-05,United States,768.592M,2052,17.410M,1.51%,885,3.599B,21.35%
Josh Richards,651,http://p16.muscdn.com/img/musically-maliva-obj/1661812387689477~c5_1080x1080.jpeg,5531650,joshrichards,2020-05-06,2017-03-16,United States,338.009M,1472,17.144M,7.87%,9.779K,2.000B,16.90%
Jason Coffee,662,http://p16.muscdn.com/img/musically-maliva-obj/1658454493509638~c5_1080x1080.jpeg,7557684,jasoncoffee,2020-05-06,2016-03-26,United States,576.684M,2221,17.003M,0.00%,7.915K,2.968B,19.43%
Selena Gomez,13540,http://p16.muscdn.com/img/musically-maliva-obj/1655739059579910~c5_1080x1080.jpeg,9.76146533247713E+016,selenagomez,2020-05-06,2016-05-24,United States,14.625M,1,16.844M,0.00%,5,91.590M,15.97%
Holly H,613,http://p16.muscdn.com/img/musically-maliva-obj/1661330901500934~c5_1080x1080.jpeg,6462812,hollyh,2020-05-06,2015-08-18,United Kingdom,293.896M,790,16.542M,0.00%,1.229K,1.853B,15.86%
LuckydancerLuckyâœ”,291,http://p16.muscdn.com/img/musically-maliva-obj/1645912269782022~c5_1080x1080.jpeg,1.58899395772494E+017,luckydancer5454,2020-05-06,2017-06-19,India,437.565M,1774,16.415M,0.00%,105,3.861B,11.33%
arianagrande,4260,http://mphw-suse1.muscdn.com/res/usericon/400/icon-99320625143398400-801.jpg,9.93206251433984E+016,arianagrande,2020-05-06,2016-05-25,United States,22.469M,5,16.354M,0.00%,0,92.102M,24.40%
Mackenzie Ziegler,10630,http://p16.muscdn.com/img/musically-maliva-obj/1661832884174853~c5_1080x1080.jpeg,5776959,mackenzieziegler,2020-05-06,2015-11-24,United States,441.403M,630,16.212M,0.00%,147,1.124B,39.28%
Joey Klaasen,3630,http://p16.muscdn.com/img/musically-maliva-obj/1607602233469957~c5_1080x1080.jpeg,1.29802027169227E+017,joeyklaasen,2020-05-06,2019-06-06,United States,97.396M,279,15.962M,12.08%,1.738K,495.812M,19.64%
oye indori,5608,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1654601635299329.webp,6.63856356942701E+018,oye_indori,2020-05-06,2018-12-24,India,200.067M,388,15.703M,0.00%,133,2.525B,7.92%
annie,8246,http://p16.muscdn.com/img/musically-maliva-obj/1644810048226310~c5_1080x1080.jpeg,21457067,annieleblanc,2020-05-06,2015-12-14,United States,891.113M,1410,15.615M,0.00%,4,1.566B,56.91%
Neha Kakkar,4096,http://p16.muscdn.com/img/musically-maliva-obj/1624692175897605~c5_1080x1080.jpeg,6.56213379988549E+018,nehakakkar,2020-05-06,2018-12-22,India,75.693M,72,15.552M,0.00%,27,1.105B,6.85%
@Jordi.koalitic ,945922,http://p16.muscdn.com/img/musically-maliva-obj/1655607938404357~c5_1080x1080.jpeg,6.71736308886399E+018,jordi.koalitic,2020-05-06,2019-07-26,Spain,99.496M,72,15.486M,0.79%,66,1.304B,7.63%
